NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
UGDH	1	UGDH	
TLR6	1	TLR6	
APBB2	1	APBB2	
OR5M14P	1	OR5M14P	
KLHL5	1	KLHL5	
KLB	1	KLB	
MRPS33P2	1	MRPS33P2	
PTTG2	1	PTTG2	
SLC30A9	1	SLC30A9	
SHISA3	1	SHISA3	
PDS5A	1	PDS5A	
PHOX2B	1	PHOX2B	
UBE2K	1	UBE2K	
RBM47	1	RBM47	
ME2P1	1	ME2P1	
MIR5091	1	MIR5091	
MIR572	1	MIR572	
BOD1L1	1	BOD1L1	
NKX3-2	1	NKX3.2	
RAB28	1	RAB28	
HSP90AB2P	1	HSP90AB2P	
CARM1P1	1	CARM1P1	
HS3ST1	1	HS3ST1	
CDRT15	1	CDRT15	
CDRT15P1	1	CDRT15P1	
COX10	1	COX10	
ECM1P2	1	ECM1P2	
PADI3	1	PADI3	
PADI2	1	PADI2	
PADI4	1	PADI4	
PADI1	1	PADI1	
PADI6	1	PADI6	
LRRC38	1	LRRC38	
MIR3972	1	MIR3972	
CROCCP4	1	CROCCP4	
CROCCP3	1	CROCCP3	
CROCCP2	1	CROCCP2	
ANGPTL7	1	ANGPTL7	
SZRD1	1	SZRD1	
PRAMEF6	1	PRAMEF6	
PRAMEF5	1	PRAMEF5	
PRAMEF4	1	PRAMEF4	
EXOSC10	1	EXOSC10	
PRAMEF2	1	PRAMEF2	
PRAMEF1	1	PRAMEF1	
MFN2	1	MFN2	
PRAMEF9	1	PRAMEF9	
PRAMEF8	1	PRAMEF8	
PRAMEF7	1	PRAMEF7	
KIAA2013	1	KIAA2013	
DHRS3	1	DHRS3	
PLOD1	1	PLOD1	
TNFRSF8	1	TNFRSF8	
DISP3	1	PTCHD2	
C1orf158	1	C1orf158	
FBXO44	1	FBXO44	
FBXO42	1	FBXO42	
ESPNP	1	ESPNP	
C1orf167	1	C1orf167	
GPS2P1	1	GPS2P1	
ANO7L1	1	ANO7P1	
DRAXIN	1	DRAXIN	
MIR6729	1	MIR6729	
C1orf127	1	C1orf127	
UBE2V2P3	1	UBE2V2P3	
VPS13D	1	VPS13D	
TNFRSF1B	1	TNFRSF1B	
SRM	1	SRM	
MIR3675	1	MIR3675	
NECAP2	1	NECAP2	
CROCC	1	CROCC	
MFAP2	1	MFAP2	
MIR4632	1	MIR4632	
AADACL3	1	AADACL3	
AADACL4	1	AADACL4	
SPATA21	1	SPATA21	
FBXO6	1	FBXO6	
FBXO2	1	FBXO2	
PRAMEF20	1	PRAMEF20	
PRAMEF26	1	PRAMEF26	
MIR7846	1	MIR7846	
PRAMEF25	1	PRAMEF25	
CASZ1	1	CASZ1	
PRAMEF11	1	PRAMEF11	
PRAMEF10	1	PRAMEF10	
MST1L	1	MST1L	
PRAMEF17	1	PRAMEF17	
PRAMEF19	1	PRAMEF19	
PRAMEF18	1	PRAMEF18	
PRAMEF12	1	PRAMEF12	
PRAMEF14	1	PRAMEF14	
RCC2	1	RCC2	
CPLANE2	1	RSG1	
PUM3	1	KIAA0020	
MIR6730	1	MIR6730	
HNRNPCL1	1	HNRNPCL1	
HNRNPCL2	1	HNRNPCL2	
HNRNPCL3	1	HNRNPCL3	
HNRNPCL4	1	HNRNPCL4	
VLDLR	1	VLDLR	
AGTRAP	1	AGTRAP	
NBPF1	1	NBPF1	
EIF1AXP1	1	EIF1AXP1	
CFL1P6	1	CFL1P6	
ACTL8	1	ACTL8	
MAD2L2	1	MAD2L2	
TARDBP	1	TARDBP	
NPPB	1	NPPB	
NPPA	1	NPPA	
SDHB	1	SDHB	
MASP2	1	MASP2	
UBIAD1	1	UBIAD1	
KCNV2	1	KCNV2	
HSPE1P24	1	HSPE1P24	
ATP5PDP2	1	ATP5HP2	
ARHGEF10L	1	ARHGEF10L	
MST1P2	1	MST1P2	
MIIP	1	MIIP	
CLCN6	1	CLCN6	
ATP13A2	1	ATP13A2	
